"logFC","logCPM","PValue","FDR"
"Tcas000381",-5.44319405956668,3.42068409166722,1.24651685907842e-48,1.24551964559116e-44
"Tcas007752",-3.48921782924499,6.59251098628021,1.00601465641779e-31,5.0260492234633e-28
"Tcas004090",-2.86716998071085,6.9631509296579,1.36165456614287e-20,4.5352174749665e-17
"Tcas007649",-2.52456724680203,4.58016393719749,2.29971381482669e-17,5.35134374953148e-14
"Tcas000125",-3.35579089971744,4.69482480364165,2.6778141260666e-17,5.35134374953148e-14
"Tcas005506",-2.41767549111585,7.65984387036084,6.27647342597687e-16,1.04524204120601e-12
"Tcas011916",-3.30435314873924,3.38054762540743,1.95248095751498e-15,2.78702710392709e-12
"Tcas004041",-3.16861253876479,5.78022751134104,7.51271728616152e-15,9.38338389041573e-12
"Tcas006834",-2.32590073490067,5.92212538781818,2.42571608932312e-14,2.69308390716852e-11
"Tcas008044",-2.98119044735973,4.78551644860492,5.54829130719481e-14,5.54385267414905e-11
"Tcas008231",-2.12146623699566,5.85463696506187,8.8142094031161e-14,8.0065073050851e-11
"Tcas007215",-2.27132601309892,4.7959705885872,7.01504287291213e-13,5.8411923655115e-10
"Tcas006179",-1.97818534706882,3.03128211081324,1.40509468210739e-12,1.079977389509e-09
"Tcas011920",-1.85470922721985,8.28524077622005,2.17984008612994e-11,1.55578301004359e-08
"Tcas009515",-1.46542409834542,6.61058752818932,3.23963097557312e-11,2.15802618052844e-08
"Tcas003336",-2.0395682235632,5.5259997705915,3.13141946199767e-10,1.95557145401754e-07
"Tcas002492",-1.77492603662871,2.93556940834502,4.2128261098453e-10,2.47615049938672e-07
"Tcas000357",-2.37530997480441,5.04573503531522,9.54383728627209e-10,5.29789012024615e-07
"Tcas006459",-2.22863746527797,5.62690727622753,2.50647339753915e-09,1.31814116780059e-06
"Tcas011980",-1.44769239462782,5.08766491564108,3.1841379637304e-09,1.59079532667971e-06
"Tcas007633",-1.62734467647762,7.12804715332327,7.9800829623852e-09,3.796999474293e-06
"Tcas000245",-1.21491556750978,6.66669844034147,8.57287673494953e-09,3.89364474252799e-06
"Tcas004296",-2.40109498647121,5.02604634463152,1.07148465090325e-08,4.65490201383706e-06
"Tcas011344",-1.44780169849967,6.23992723960271,2.39313050870934e-08,9.96340001792654e-06
"Tcas012300",-1.86140182899519,4.73208680615686,2.96892226185584e-08,1.18661884961854e-05
"Tcas004264",-1.38373023791428,5.67538514723533,3.2296132565266e-08,1.24116521766207e-05
"Tcas009707",-1.43184859979616,6.76048891869389,3.59948512857533e-08,1.33207612610091e-05
"Tcas012401",1.22533960496104,5.67630676190719,5.72279213642529e-08,2.04009097766965e-05
"Tcas002945",-1.3899880943177,5.34589208380834,5.92100063575059e-08,2.04009097766965e-05
"Tcas008684",-1.26521900696224,5.26490282712242,7.3058376049828e-08,2.4333309782996e-05
"Tcas002348",-1.40687520155493,9.25657402025131,7.91369566837589e-08,2.55076281027135e-05
"Tcas005135",-0.941412117964145,5.4629513680218,8.65914333487801e-08,2.70381750631566e-05
"Tcas012414",-1.3659400455957,6.57903754970866,9.83076501495609e-08,2.97663648574064e-05
"Tcas003464",-1.10475074017216,7.1009411595386,1.22630007804894e-07,3.6038795234897e-05
"Tcas003695",-2.19546743591295,7.00542834337288,1.26933573080916e-07,3.62377217778433e-05
"Tcas009593",-2.17523509438088,3.20516644480431,1.42639256878919e-07,3.959031818706e-05
"Tcas011558",-1.41569125707124,9.83858050459431,1.61488932299334e-07,4.36107408522958e-05
"Tcas012119",-1.31069190058228,6.43018983998564,2.85809771665116e-07,7.51529273283641e-05
"Tcas004278",-2.12442480485697,10.5717025793076,3.83024634336097e-07,9.81328755458021e-05
"Tcas012002",-1.08647420743755,5.40598590279782,4.28660929627499e-07,0.000107079500220949
"Tcas001604",-3.17479361841227,8.21547467725895,5.67693345750002e-07,0.000138351022213025
"Tcas011537",-1.2153465159597,7.93264233447738,8.98517202815305e-07,0.000213761521203108
"Tcas001613",-1.23787978848038,6.0643926631963,1.21621029231745e-06,0.000282613331182231
"Tcas011154",-2.09579325586313,2.28428840758824,1.93902036366213e-06,0.000440333897129819
"Tcas007433",-1.97825227789322,6.34770587866886,2.11030083391868e-06,0.000468580576278121
"Tcas007426",-1.26353556811259,5.61545669199916,2.16621485486651e-06,0.00047053953977883
"Tcas005306",-1.51886247834017,4.9609531858006,2.23822228113978e-06,0.000475836532620184
"Tcas012351",1.19445057464262,5.20089925980421,2.86070017241613e-06,0.000595502419224624
"Tcas008722",-1.44942053398954,2.48875107271694,4.78742095171408e-06,0.000976243064276064
"Tcas000613",-0.864048575824223,5.44730364729047,5.00236119932409e-06,0.000999671862072926
"Tcas001445",-1.586971465343,7.44203566161208,5.2337178057511e-06,0.00102539820225618
"Tcas003282",-2.72031187679205,6.12302967277577,5.34782870342246e-06,0.00102760585393456
"Tcas009663",-0.904774290152132,5.25597686378881,5.57075895312592e-06,0.00105024572565348
"Tcas004939",-1.29282694375311,6.24717266789686,6.98082170363897e-06,0.0012917105641252
"Tcas003936",1.03597446726896,3.39396256007543,8.10542820730781e-06,0.0014725352481349
"Tcas000454",0.934047793128074,3.45292321277908,9.66317894982941e-06,0.0017241872154767
"Tcas012168",-1.20195998327407,8.92365939255017,1.16915942136157e-05,0.00204951595407803
"Tcas002960",1.02751454549013,3.86851454176992,1.25925258940663e-05,0.00216938825402604
"Tcas004226",-2.5378595334283,1.48422822566852,1.29389554442412e-05,0.00219128886099759
"Tcas007432",0.787156786661692,5.37081647478551,1.41106869598422e-05,0.00234989973504573
"Tcas012524",-2.87582517199093,1.16383187967502,1.55135699098614e-05,0.00254117361539894
"Tcas007810",-0.840681858342521,4.72940208964088,1.68213940886583e-05,0.0027109575763528
"Tcas004372",1.50530076262962,1.89208290464092,1.77393312820534e-05,0.00281098971140698
"Tcas005361",1.03759117772868,2.98633257276706,1.80047379433593e-05,0.00281098971140698
"Tcas012598",2.69283519811657,0.509330820360804,1.83887073592743e-05,0.00282676867590568
"Tcas000658",1.05635804256631,4.84541787369098,1.95390486908219e-05,0.00295809355331352
"Tcas002644",-0.974492017712288,4.3547868184539,2.41867737384862e-05,0.00360707825664111
"Tcas001732",1.33544531765881,6.05556116614555,3.76464161356234e-05,0.00553180867686985
"Tcas004655",-1.29768259116365,5.56069773022488,4.03076334136269e-05,0.00583701265317333
"Tcas007037",-0.90178991334628,6.82748186871003,4.6561906247521e-05,0.006646379531789
"Tcas002560",0.743825794207567,6.37093661285687,4.83652080045478e-05,0.00680655152649918
"Tcas009042",-1.04512736435065,8.33020945626339,5.64822957336989e-05,0.00783848748570999
"Tcas007742",-1.26915009978647,6.63769956936657,6.05468899002445e-05,0.0082874592312773
"Tcas003334",-2.03850758964542,2.49083479269328,6.16201045927491e-05,0.00832037952825336
"Tcas009006",-0.955632614638669,6.09341832728527,6.79134135955058e-05,0.00904787771528392
"Tcas011443",-0.773439814535789,5.3130619685265,7.96676154390569e-05,0.0104741949140402
"Tcas008219",-0.696053819619255,5.35090795215251,8.25184892751213e-05,0.0107081135693118
"Tcas004201",1.35996019379235,6.32254189202426,8.56804747079235e-05,0.0109758885036099
"Tcas005381",1.07187136764031,2.93817498245058,8.88467877079867e-05,0.0112374316807367
"Tcas009478",-1.65372688940685,3.68685658640636,9.21112461471832e-05,0.0115046946437832
"Tcas000836",-2.96524336658431,5.64399512242088,0.000101909234482227,0.0125713218635359
"Tcas003902",-1.38423354162456,7.31427597625549,0.000107803742546716,0.0131362804332535
"Tcas004584",-0.7571809094601,4.64758510082784,0.000127545133324706,0.0153545900262706
"Tcas002936",-0.851933924354446,4.58621817528262,0.000132807428237803,0.0157977597970492
"Tcas000715",1.19555943312161,3.98644499265177,0.000159291790698397,0.0187252185018633
"Tcas011097",0.741387553217695,6.36265828981855,0.000171244746502849,0.019896250082052
"Tcas011095",-1.28631126156725,10.9616452701867,0.000174860646193857,0.0200828457099887
"Tcas000442",0.897889955061519,5.15797218143298,0.000187775685620789,0.0213210755763968
"Tcas002425",0.74384435166992,4.9082887676414,0.000198528706185616,0.022189937547927
"Tcas012428",1.24203933529848,5.63135035494729,0.000199869333398062,0.022189937547927
"Tcas000260",-1.01252324704703,7.04351648475291,0.000240186451186992,0.0263730002226421
"Tcas005588",-0.651978132731675,5.68603766220241,0.000245005100636413,0.0266096844082504
"Tcas004737",-0.789728402741513,7.39915165537316,0.000250667012037119,0.0267445640820071
"Tcas001054",-0.659016136381599,5.12933373058186,0.00025160018251688,0.0267445640820071
"Tcas011474",-3.30659866371717,2.28306166198579,0.000259702982560876,0.0273152863341924
"Tcas004153",1.28691916290658,5.3166621184141,0.000275456698422928,0.0286704513608531
"Tcas010820",0.803398847898103,5.62251897922695,0.000286931053577904,0.0294325970325748
"Tcas011155",-0.848685436278007,7.45442709906214,0.000291676927471741,0.0294325970325748
"Tcas005092",-1.03413050852965,7.50901421176391,0.000293919319298667,0.0294325970325748
"Tcas012385",0.929091097829578,5.93777741139707,0.000294561619621445,0.0294325970325748
"Tcas001272",1.0873451294021,4.57457473415838,0.000309997648429397,0.0306682822089755
"Tcas004985",-0.950229420597057,5.04251764449335,0.000325338962422919,0.0318704599267628
"Tcas002687",1.66206791944193,2.07547689484837,0.00033032194974001,0.0320444361340017
"Tcas011905",-0.796971236117257,5.19398192588536,0.000385950098179359,0.0370047733360054
"Tcas000700",-1.13207330403145,2.50930404628839,0.000388861208995253,0.0370047733360054
"Tcas002505",1.02857787158178,4.20085780798342,0.000395235713829043,0.0372565589866019
"Tcas004017",-1.32122167731136,6.35514050912868,0.000408934181189067,0.0381875732564594
"Tcas002547",-1.39567348624417,6.77741128744125,0.000425644805130886,0.039380026785813
"Tcas005999",-0.65857275178061,6.41030428583773,0.000442297893345023,0.0405453261495732
"Tcas005749",-0.72957379693609,4.25777849570576,0.000476561896438573,0.0432891497201293
"Tcas004184",-1.94591222994205,2.6058891466845,0.000492249066346886,0.0443112853237665
"Tcas006011",1.48741956384871,3.40457044284884,0.000528227462090787,0.0471254357250995
